Year,Region,State,District,Population,Plastic Waste (kg),Plastic Type,Source
2015,India,Karnataka,Siliguri,1370223,47606.336859055875,PVC,Industrial
2020,India,Nagaland,Howrah,2543996,47080.22376342002,Other,Household
2020,India,Gujarat,Varanasi,8502328,25865.88878033705,Other,Industrial
2020,India,Karnataka,Varanasi,3155214,3793.4779275119026,PP,Household
2021,India,Nagaland,Siliguri,5169302,20850.22032471693,PVC,Packaging
2021,India,Karnataka,Howrah,7186317,16611.55886212483,Other,Industrial
2017,India,Gujarat,Varanasi,807003,32744.734336750054,PVC,Industrial
2023,India,Gujarat,Howrah,3133413,32725.472342869183,PP,Household
2018,India,Nagaland,Siliguri,3328714,36556.89656565649,PP,Household
2023,India,Gujarat,Howrah,2952204,34705.59262549605,PP,Packaging
2019,India,Nagaland,Siliguri,4888617,17089.344732651694,PVC,Packaging
2020,India,Gujarat,Siliguri,3205245,43689.47448868175,PP,Household
2021,India,Gujarat,Howrah,786841,4687.007461159411,Other,Household
2016,India,Karnataka,Siliguri,4543417,16007.12474951495,PVC,Packaging
2018,India,Nagaland,Varanasi,4103577,27904.301170973682,PVC,Industrial
2020,India,Nagaland,Varanasi,1482248,24596.648226789795,PVC,Packaging
2020,India,Nagaland,Varanasi,3373976,17561.630692466002,Other,Household
2024,India,Karnataka,Siliguri,4589492,36692.58290629115,PP,Packaging
2020,India,Gujarat,Siliguri,9321917,21458.950005942675,Other,Household
2017,India,Gujarat,Siliguri,6654874,15104.24115613193,PVC,Packaging
2015,India,Gujarat,Siliguri,8904377,29955.635244722376,Other,Household
2021,India,Nagaland,Varanasi,4673035,36380.176106017876,PVC,Household
2024,India,Karnataka,Howrah,592318,1417.1157597251952,PVC,Household
2023,India,Nagaland,Varanasi,8461538,20888.9669811843,PP,Household
2019,India,Gujarat,Varanasi,5202560,9522.340804286827,PVC,Household
2016,India,Nagaland,Siliguri,1822904,43012.431532584305,PP,Packaging
2015,India,Karnataka,Varanasi,8674660,18718.10940311181,PVC,Household
2022,India,Karnataka,Howrah,1699906,8886.744121770267,PP,Industrial
2019,India,Nagaland,Varanasi,2568277,13001.948540791213,Other,Packaging
2017,India,Karnataka,Siliguri,8546291,29488.65213890747,PVC,Household
2019,India,Gujarat,Howrah,5380570,39795.33694769323,PVC,Household
2017,India,Karnataka,Siliguri,251353,26506.003758189592,PVC,Packaging
2019,India,Gujarat,Siliguri,9305382,28348.257517362723,PP,Industrial
2023,India,Karnataka,Siliguri,730996,46873.84355082429,Other,Industrial
2017,India,Karnataka,Howrah,4895249,8527.626795396543,PVC,Industrial
2017,India,Gujarat,Howrah,8714454,1643.0120992483096,PP,Household
2021,India,Nagaland,Siliguri,2326046,45281.39540328825,Other,Industrial
2017,India,Gujarat,Varanasi,537399,36540.98722323736,PP,Packaging
2020,India,Nagaland,Varanasi,3366805,21836.36933019995,Other,Packaging
2023,India,Karnataka,Howrah,3011051,21594.96643061773,Other,Packaging
2024,India,Gujarat,Siliguri,8124850,29783.229342308136,Other,Industrial
2022,India,Karnataka,Howrah,4988730,40251.456868434936,Other,Packaging
2023,India,Nagaland,Siliguri,9374975,32991.324674312564,PVC,Household
2024,India,Karnataka,Howrah,9216552,6752.215035508578,Other,Household
2015,India,Karnataka,Siliguri,9052690,30563.282647451735,PVC,Household
2016,India,Nagaland,Siliguri,1487828,16472.120651531455,PVC,Industrial
2024,India,Karnataka,Varanasi,2859256,3444.966126204737,PP,Packaging
2022,India,Nagaland,Siliguri,7780401,7101.820475935449,PVC,Industrial
2019,India,Gujarat,Varanasi,5418932,36824.38543431131,Other,Packaging
2017,India,Nagaland,Siliguri,3069800,20615.32724044406,PP,Household
2023,India,Gujarat,Siliguri,7166907,31172.73127117808,Other,Household
2022,India,Gujarat,Siliguri,511500,2600.560055460355,PP,Industrial
2017,India,Gujarat,Varanasi,3900730,23684.005217299054,Other,Household
2015,India,Nagaland,Siliguri,4560517,47664.1390245192,PVC,Industrial
2021,India,Gujarat,Siliguri,5471010,7394.898184249323,PP,Household
2019,India,Karnataka,Siliguri,5450097,40579.22590977584,PVC,Packaging
2017,India,Nagaland,Siliguri,7321119,46714.287164118075,PVC,Packaging
2016,India,Nagaland,Varanasi,1106386,45409.2197354217,Other,Household
2022,India,Nagaland,Howrah,5839740,19029.52107669664,PP,Industrial
2017,India,Nagaland,Howrah,5872362,29811.32915853972,PP,Household
2018,India,Karnataka,Howrah,6213386,13434.755457917396,Other,Packaging
2020,India,Nagaland,Howrah,578742,20558.72220626866,Other,Packaging
2017,India,Gujarat,Varanasi,6137036,16134.400923773801,PVC,Packaging
2016,India,Nagaland,Howrah,6482895,49137.082938629486,Other,Packaging
2018,India,Karnataka,Siliguri,9876828,36875.819252150075,Other,Packaging
2021,India,Gujarat,Siliguri,1358441,14066.168266005949,PVC,Industrial
2020,India,Karnataka,Howrah,6924797,7932.594801814573,Other,Household
2021,India,Gujarat,Varanasi,2700388,21080.63236242989,Other,Packaging
2016,India,Nagaland,Varanasi,5119032,24078.893463414213,PVC,Household
2022,India,Karnataka,Howrah,8079232,41201.75605415107,PP,Packaging
2022,India,Nagaland,Varanasi,1053398,43464.156295949266,PVC,Industrial
2023,India,Nagaland,Howrah,5530197,6477.6124606641115,PVC,Household
2021,India,Gujarat,Howrah,7712872,34151.7358139389,Other,Household
2020,India,Karnataka,Varanasi,2577143,39711.578662523214,Other,Packaging
2024,India,Gujarat,Siliguri,306267,26202.860965359185,Other,Packaging
2018,India,Gujarat,Howrah,970562,44049.07805435339,Other,Household
2016,India,Karnataka,Howrah,4094764,22253.352699145988,Other,Household
2020,India,Gujarat,Varanasi,217081,12431.766015722524,Other,Household
2023,India,Nagaland,Varanasi,9036613,2741.676356560146,PVC,Industrial
2022,India,Gujarat,Varanasi,7093642,39475.09406803375,Other,Industrial
2023,India,Gujarat,Howrah,2841403,2577.7874972245136,PVC,Packaging
2023,India,Gujarat,Siliguri,2485671,35023.95908577835,PVC,Industrial
2024,India,Nagaland,Varanasi,5560166,26262.260133214935,PVC,Packaging
2018,India,Karnataka,Varanasi,4898251,11376.144186015526,Other,Packaging
2020,India,Gujarat,Howrah,2872022,9435.191200417132,PP,Industrial
2016,India,Gujarat,Siliguri,4657958,12549.866209427755,Other,Industrial
2019,India,Nagaland,Howrah,1625291,19034.484599732674,Other,Industrial
2015,India,Karnataka,Varanasi,1636281,21872.38459741802,PP,Packaging
2024,India,Nagaland,Howrah,7450019,27178.91428591707,Other,Household
2018,India,Gujarat,Siliguri,2087153,25741.960540913635,Other,Household
2017,India,Gujarat,Howrah,9524301,9710.29437840511,PVC,Industrial
2020,India,Karnataka,Siliguri,317944,13526.625023287661,Other,Packaging
2017,India,Karnataka,Siliguri,836386,43809.911057475765,PVC,Household
2019,India,Gujarat,Varanasi,9865623,7462.090455696989,PP,Packaging
2019,India,Nagaland,Siliguri,9538829,21290.27954476632,Other,Packaging
2020,India,Gujarat,Siliguri,6384918,2078.1692889535,PVC,Industrial
2016,India,Karnataka,Howrah,3663808,12417.620660815563,PVC,Packaging
2019,India,Karnataka,Varanasi,2403743,27344.502456235125,PVC,Packaging
2020,India,Nagaland,Varanasi,4383970,14058.586676427962,Other,Packaging
2023,India,Nagaland,Varanasi,1189914,11191.402121353642,PP,Household
2017,India,Nagaland,Varanasi,4863409,49036.91502204041,Other,Industrial
2015,India,Karnataka,Varanasi,494181,41983.47499394974,PP,Industrial
2021,India,Karnataka,Siliguri,4346280,35267.483187389036,PP,Packaging
2015,India,Nagaland,Siliguri,1580933,7751.225660647915,Other,Household
2015,India,Nagaland,Varanasi,8881053,29384.750946674983,PP,Industrial
2024,India,Nagaland,Howrah,6484997,4419.237951407466,Other,Industrial
2021,India,Karnataka,Howrah,6477731,27396.417914429847,Other,Packaging
2021,India,Karnataka,Howrah,2018188,43902.632084053104,PVC,Household
2017,India,Karnataka,Siliguri,6100915,14337.629242587933,PVC,Household
2018,India,Nagaland,Varanasi,1023512,5004.034954140783,PVC,Packaging
2019,India,Karnataka,Varanasi,6908170,32699.09415543424,Other,Packaging
2018,India,Nagaland,Varanasi,1292281,7859.552475925342,PP,Packaging
2021,India,Karnataka,Howrah,3568026,39265.15753137848,PVC,Industrial
2024,India,Nagaland,Howrah,6995000,6090.883647057837,Other,Packaging
2024,India,Karnataka,Howrah,6943177,3326.974949335391,Other,Household
2024,India,Karnataka,Siliguri,9916556,22191.79492395726,PVC,Packaging
2021,India,Karnataka,Siliguri,5504034,3918.9281626489396,Other,Packaging
2020,India,Gujarat,Siliguri,3351601,31755.605494670363,PP,Household
2015,India,Gujarat,Siliguri,5613042,1569.204618122591,Other,Industrial
2022,India,Karnataka,Varanasi,5006176,41740.724116423095,PP,Industrial
2021,India,Karnataka,Howrah,4331610,18095.005022423433,PVC,Industrial
2023,India,Gujarat,Siliguri,2028179,36036.686547828474,Other,Industrial
2020,India,Gujarat,Howrah,3736241,21602.14009851102,Other,Industrial
2021,India,Gujarat,Howrah,4443175,23769.31252837824,PP,Industrial
2022,India,Gujarat,Howrah,2066201,13743.060045744272,Other,Industrial
2020,India,Karnataka,Howrah,5394369,30637.839570584758,PP,Household
2023,India,Nagaland,Varanasi,8051178,33979.00560580974,PP,Industrial
2024,India,Gujarat,Varanasi,1810717,34400.08019768687,Other,Industrial
2022,India,Nagaland,Howrah,8482800,10916.841475572828,PVC,Industrial
2022,India,Nagaland,Varanasi,8561068,7025.5509143207155,PVC,Packaging
2024,India,Nagaland,Howrah,5979269,8073.538266480682,PVC,Packaging
2022,India,Karnataka,Siliguri,2146509,4607.795759775665,Other,Packaging
2017,India,Nagaland,Siliguri,3687291,24855.79523902526,PVC,Industrial
2018,India,Gujarat,Varanasi,6187337,30729.694620489932,PP,Packaging
2018,India,Karnataka,Varanasi,1974626,32097.45976420089,PP,Industrial
2018,India,Gujarat,Siliguri,1502250,38338.39635306562,PP,Household
2018,India,Nagaland,Howrah,5414674,3838.052824169718,PP,Industrial
2017,India,Nagaland,Siliguri,8457126,45772.817873045205,Other,Industrial
2016,India,Gujarat,Siliguri,255626,26283.49430721198,PP,Household
2021,India,Nagaland,Varanasi,1723775,38269.51345265741,PP,Packaging
2016,India,Nagaland,Howrah,8490872,42218.358155384405,Other,Household
2015,India,Karnataka,Howrah,9785942,45554.816241305896,PP,Household
2021,India,Karnataka,Varanasi,8521231,28547.283318454007,PP,Packaging
2024,India,Karnataka,Howrah,7875180,30622.113119597114,Other,Industrial
2020,India,Karnataka,Varanasi,1789930,23208.311212541783,Other,Packaging
2021,India,Nagaland,Varanasi,8038162,13215.544222128992,Other,Industrial
2023,India,Gujarat,Howrah,4764182,33838.709923880495,PVC,Industrial
2021,India,Karnataka,Siliguri,2224719,7984.328604747521,PVC,Household
2023,India,Gujarat,Siliguri,4708565,38772.0575290258,PVC,Household
2016,India,Karnataka,Howrah,3527712,40202.07624744786,PP,Industrial
2020,India,Gujarat,Howrah,4731281,39634.14419070062,Other,Packaging
2023,India,Karnataka,Howrah,5251385,10326.256526957877,Other,Industrial
2016,India,Karnataka,Siliguri,8293153,49882.18311891309,PP,Packaging
2022,India,Nagaland,Siliguri,4437678,20080.097817119036,PVC,Industrial
2016,India,Karnataka,Howrah,7639953,32764.338356645098,PP,Packaging
2021,India,Nagaland,Varanasi,2439255,21283.751390700854,PP,Household
2022,India,Gujarat,Howrah,4180324,22902.489402463583,PP,Packaging
2019,India,Nagaland,Varanasi,2361607,8091.224212203132,Other,Packaging
2021,India,Karnataka,Varanasi,9373209,2325.470058594936,PP,Household
2015,India,Gujarat,Howrah,1805781,1486.8625981736445,PP,Packaging
2017,India,Gujarat,Howrah,728516,22120.074305336915,PVC,Household
2024,India,Nagaland,Howrah,9757543,14331.1780607209,Other,Packaging
2017,India,Gujarat,Siliguri,3040255,48327.611594431444,Other,Household
2015,India,Nagaland,Howrah,9975261,33388.11608520886,PP,Industrial
2018,India,Nagaland,Siliguri,3919329,21715.753526621807,PP,Household
2022,India,Gujarat,Siliguri,9252078,32402.26868214842,Other,Packaging
2021,India,Gujarat,Howrah,7963816,15119.868980649078,PP,Industrial
2022,India,Gujarat,Siliguri,202092,36542.542251275205,PVC,Household
2022,India,Gujarat,Howrah,5226986,36656.699667301385,Other,Industrial
2020,India,Karnataka,Howrah,2949173,1392.4602996345257,Other,Industrial
2018,India,Karnataka,Siliguri,3545157,49395.78753516124,Other,Industrial
2018,India,Nagaland,Siliguri,5589903,49923.561976180485,PVC,Packaging
2016,India,Nagaland,Siliguri,5605650,23879.589328066442,Other,Packaging
2022,India,Karnataka,Siliguri,5413443,24196.493430008086,Other,Industrial
2022,India,Nagaland,Howrah,2603113,32782.929594924935,PVC,Household
2023,India,Karnataka,Siliguri,5014500,9110.133088759836,PVC,Industrial
2018,India,Gujarat,Howrah,5475519,36601.62293882296,PP,Household
2024,India,Nagaland,Varanasi,1221207,21185.921846561272,PP,Household
2017,India,Karnataka,Varanasi,599082,29571.228639063993,PVC,Industrial
2024,India,Nagaland,Howrah,9795770,16761.22818477641,PVC,Packaging
2016,India,Nagaland,Varanasi,927055,6052.310138931161,PP,Household
2018,India,Gujarat,Howrah,7245302,1524.0020699482493,Other,Industrial
2021,India,Karnataka,Howrah,8617682,46915.46943163637,Other,Packaging
2018,India,Nagaland,Varanasi,2122011,46939.2496263504,Other,Household
2016,India,Karnataka,Varanasi,2997662,12070.445447424443,PP,Industrial
2016,India,Nagaland,Siliguri,453596,16964.13606354872,PP,Industrial
2019,India,Gujarat,Siliguri,3449286,22006.588341949173,PP,Household
2019,India,Gujarat,Varanasi,6552987,3957.445832603006,PP,Packaging
2023,India,Karnataka,Varanasi,51242,41540.946781603554,PVC,Packaging
2024,India,Gujarat,Varanasi,3309551,28667.129929249633,Other,Industrial
2019,India,Karnataka,Howrah,4421950,1933.8352805797172,PP,Packaging
2015,India,Karnataka,Varanasi,6412542,48737.22990436554,Other,Packaging
2021,India,Nagaland,Howrah,7528271,15489.448440142354,PP,Household
2021,India,Gujarat,Varanasi,9534044,39256.18671315066,PP,Industrial
2016,India,Nagaland,Howrah,5673425,22872.78122015316,PP,Industrial
2016,India,Nagaland,Siliguri,636853,2892.4573515770007,PVC,Industrial
2016,India,Karnataka,Howrah,8145229,46085.496880838255,Other,Packaging
2015,India,Nagaland,Siliguri,9310973,22476.357158307423,Other,Industrial
2015,India,Nagaland,Varanasi,8839345,5075.855630468165,Other,Packaging
2015,India,Nagaland,Varanasi,4835787,49554.299295945915,Other,Household
2017,India,Nagaland,Varanasi,4799786,15696.276275038497,PVC,Industrial
2018,India,Karnataka,Varanasi,1360272,14517.37859308655,PVC,Household
2019,India,Gujarat,Siliguri,1859860,37716.27308898597,Other,Industrial
2015,India,Nagaland,Varanasi,1731206,36932.51440311281,PVC,Household
2020,India,Gujarat,Varanasi,7231103,8035.681590785427,PP,Household
2019,India,Nagaland,Howrah,3833233,25474.344124442167,PP,Packaging
2021,India,Gujarat,Siliguri,5385901,26662.34532126863,PP,Industrial
2020,India,Gujarat,Howrah,4267007,46887.00011759489,Other,Industrial
2022,India,Nagaland,Varanasi,8596028,21035.00212871404,Other,Packaging
2022,India,Gujarat,Varanasi,2619672,36972.04814899183,PVC,Industrial
2017,India,Karnataka,Siliguri,1408981,5532.0934639505995,Other,Household
2016,India,Gujarat,Howrah,4705601,18438.33335746391,PVC,Household
2015,India,Karnataka,Varanasi,685395,43837.06379705308,Other,Household
2017,India,Gujarat,Varanasi,4389966,41317.1920322194,Other,Industrial
2019,India,Gujarat,Varanasi,3841501,24409.660726040896,PP,Household
2021,India,Nagaland,Varanasi,1287704,40370.15165642349,Other,Packaging
2019,India,Karnataka,Siliguri,3319052,14864.207005434242,PVC,Packaging
2017,India,Karnataka,Siliguri,4110822,11740.947215030175,PVC,Household
2024,India,Karnataka,Howrah,6112525,28476.90612143578,Other,Packaging
2024,India,Gujarat,Varanasi,1259855,26008.86448533397,PP,Packaging
2023,India,Karnataka,Siliguri,5869667,1775.8862821572852,PVC,Industrial
2021,India,Gujarat,Siliguri,1847387,45682.36601559826,PVC,Industrial
2016,India,Karnataka,Siliguri,7565391,13257.542662713635,PP,Household
2023,India,Nagaland,Varanasi,1356214,9758.396561016809,PVC,Packaging
2020,India,Nagaland,Varanasi,9543958,25119.244029997022,PVC,Packaging
2016,India,Gujarat,Varanasi,840226,46423.794622072266,PP,Packaging
2020,India,Gujarat,Siliguri,4452820,6099.832535073769,PP,Packaging
2017,India,Nagaland,Varanasi,9794886,5288.687506890283,Other,Industrial
2021,India,Nagaland,Siliguri,4386799,13753.739190432965,PVC,Household
2016,India,Nagaland,Varanasi,2052541,15113.351515945707,Other,Industrial
2019,India,Gujarat,Howrah,2316961,27759.952496357015,PVC,Industrial
2023,India,Gujarat,Siliguri,4545449,5132.46876970727,PP,Industrial
2024,India,Karnataka,Howrah,5940479,35350.50998953619,Other,Packaging
2017,India,Gujarat,Howrah,5195100,29619.5115201217,PVC,Household
2015,India,Nagaland,Varanasi,7816488,20900.459638849097,Other,Industrial
2024,India,Karnataka,Varanasi,6212543,4048.9181946921353,Other,Packaging
2017,India,Gujarat,Howrah,8860373,1953.0205999484635,PVC,Packaging
2018,India,Gujarat,Siliguri,9154846,6411.402529025273,PP,Industrial
2023,India,Nagaland,Siliguri,3109965,14021.356559365719,Other,Household
2023,India,Karnataka,Siliguri,134862,47161.184497289214,Other,Industrial
2018,India,Karnataka,Siliguri,8941266,40136.86358926446,PP,Household
2019,India,Nagaland,Varanasi,1799280,33014.311902851114,PP,Household
2023,India,Karnataka,Siliguri,9525777,17784.847025125,PVC,Packaging
2023,India,Gujarat,Siliguri,368791,44457.776696095556,Other,Household
2015,India,Nagaland,Varanasi,864525,21086.461738316342,Other,Packaging
2017,India,Nagaland,Siliguri,9241965,44138.80346616236,PP,Household
2016,India,Gujarat,Howrah,9242038,31890.41171636053,PP,Industrial
2015,India,Karnataka,Siliguri,8050736,5697.73021861484,Other,Packaging
2022,India,Karnataka,Howrah,322883,20240.92885963181,Other,Household
2024,India,Gujarat,Howrah,4020772,17823.917711706403,PP,Packaging
2020,India,Karnataka,Howrah,5658158,31918.13217729071,PP,Packaging
2017,India,Gujarat,Siliguri,8258353,9345.322566539588,PVC,Household
2020,India,Nagaland,Siliguri,4267701,34100.5267026114,PVC,Industrial
2015,India,Karnataka,Varanasi,3747801,19737.482064980893,PVC,Industrial
2017,India,Nagaland,Howrah,8306624,47271.17827050554,PP,Household
2016,India,Nagaland,Varanasi,1831926,17993.27993555238,Other,Industrial
2024,India,Gujarat,Howrah,242755,48616.51994830404,Other,Industrial
2015,India,Karnataka,Howrah,2165341,26853.181359844948,PVC,Packaging
2021,India,Nagaland,Varanasi,4964858,38754.250879864965,PVC,Household
2020,India,Karnataka,Siliguri,9711177,46252.51152692208,PVC,Household
2019,India,Gujarat,Varanasi,770100,27920.71453489422,PP,Industrial
2017,India,Karnataka,Varanasi,6384152,11136.60578878715,PVC,Household
2016,India,Gujarat,Siliguri,6913720,5306.012752004788,PVC,Household
2020,India,Nagaland,Varanasi,2246535,21010.828792160835,PVC,Industrial
2023,India,Gujarat,Howrah,8956843,48871.42371417966,PVC,Industrial
2023,India,Nagaland,Siliguri,76377,25909.239204229325,PVC,Packaging
2016,India,Gujarat,Varanasi,5194772,47025.45398856058,Other,Packaging
2020,India,Karnataka,Siliguri,3666392,44011.9296182515,PVC,Household
2023,India,Karnataka,Siliguri,462186,3714.7515097231462,Other,Industrial
2018,India,Gujarat,Howrah,7197695,37449.92401544543,PVC,Industrial
2023,India,Karnataka,Siliguri,7537741,25176.8083636878,Other,Industrial
2018,India,Gujarat,Varanasi,3958022,30989.680184980567,Other,Packaging
2021,India,Gujarat,Siliguri,695925,23767.128373350042,PVC,Industrial
2018,India,Karnataka,Howrah,125194,24385.60267135338,Other,Industrial
2024,India,Gujarat,Siliguri,7496633,48914.6445691809,PP,Packaging
2023,India,Karnataka,Siliguri,2593182,17021.505009545748,Other,Household
2018,India,Karnataka,Varanasi,5158840,37197.02965780145,Other,Packaging
2016,India,Nagaland,Howrah,7356440,22518.2440332526,PVC,Household
2020,India,Karnataka,Siliguri,3634608,18916.18625210632,PP,Industrial
2015,India,Nagaland,Varanasi,2700241,3752.647027427485,Other,Industrial
2016,India,Nagaland,Varanasi,4079853,14866.159049344718,Other,Household
2018,India,Gujarat,Varanasi,4060238,28096.243898776644,PVC,Packaging
2024,India,Nagaland,Varanasi,7928054,17069.597125826178,Other,Packaging
2022,India,Nagaland,Varanasi,6586418,30150.316865066918,PP,Household
2022,India,Gujarat,Varanasi,2240810,2404.3072729485007,PP,Industrial
2024,India,Karnataka,Siliguri,5680222,25139.956923864345,PVC,Packaging
2019,India,Gujarat,Varanasi,1439536,28809.321064845146,Other,Industrial
2020,India,Nagaland,Varanasi,8406492,5349.438650989293,PP,Household
2021,India,Nagaland,Varanasi,1691701,39506.37102890425,PP,Industrial
2020,India,Karnataka,Howrah,3929706,13709.727615763179,PVC,Industrial
2015,India,Karnataka,Howrah,2691929,20990.84441984886,PVC,Packaging
2023,India,Karnataka,Howrah,2500922,13853.681512270801,Other,Industrial
2022,India,Gujarat,Howrah,5420670,21053.419413211606,PP,Industrial
2017,India,Nagaland,Howrah,7649475,4292.079050326968,Other,Industrial
2024,India,Karnataka,Varanasi,276170,25359.95449561821,PVC,Packaging
2019,India,Nagaland,Howrah,1751083,43260.66090983622,PP,Industrial
2015,India,Nagaland,Siliguri,8570189,41547.40395870883,PVC,Packaging
2018,India,Gujarat,Howrah,8735464,1882.3795520369094,PP,Industrial
2017,India,Gujarat,Siliguri,1142842,43841.01277838406,PP,Household
2022,India,Nagaland,Howrah,5874144,36723.302273560286,Other,Industrial
2019,India,Gujarat,Varanasi,6110193,31239.369864843073,PVC,Industrial
2021,India,Gujarat,Howrah,8137503,32609.88955096031,Other,Industrial
2020,India,Karnataka,Howrah,3937442,48921.16894124621,Other,Household
2020,India,Gujarat,Siliguri,4793086,22711.8193446462,PVC,Industrial
2019,India,Nagaland,Varanasi,2633911,14296.157039928046,PVC,Industrial
2015,India,Karnataka,Varanasi,8089019,27656.921133511187,PP,Packaging
2021,India,Gujarat,Howrah,1869243,9150.502926216974,PVC,Household
2024,India,Nagaland,Howrah,2246594,23189.63054816238,PVC,Industrial
2022,India,Nagaland,Siliguri,6963500,34598.632604028426,PVC,Packaging
2017,India,Gujarat,Varanasi,2132917,44630.71475866887,PP,Packaging
2024,India,Gujarat,Varanasi,8286235,8474.818279210738,Other,Industrial
2017,India,Gujarat,Siliguri,1734951,18809.652728229485,PP,Industrial
2022,India,Nagaland,Varanasi,1970973,29012.317636550048,PVC,Industrial
2017,India,Nagaland,Siliguri,6768455,12535.25386910877,PP,Packaging
2015,India,Gujarat,Siliguri,2554113,22067.928456247017,PVC,Household
2015,India,Karnataka,Howrah,4310569,12807.522670614902,PVC,Household
2021,India,Gujarat,Howrah,8110194,9021.566142274944,PP,Industrial
2015,India,Karnataka,Howrah,9006023,23669.578943572476,Other,Household
2024,India,Gujarat,Siliguri,9475988,24484.377504399225,Other,Household
2016,India,Nagaland,Varanasi,4383120,29684.632633729456,PVC,Household
2019,India,Gujarat,Varanasi,5496598,47479.94234187288,Other,Industrial
2023,India,Nagaland,Varanasi,7567314,34459.93860911299,Other,Industrial
2021,India,Karnataka,Howrah,4359937,38739.9985975509,PVC,Household
2017,India,Karnataka,Howrah,3979735,16887.000745677127,PVC,Industrial
2015,India,Gujarat,Siliguri,4033485,30686.144887735816,PVC,Packaging
2020,India,Nagaland,Siliguri,2972011,14023.824677138446,PVC,Packaging
2019,India,Karnataka,Howrah,237055,16122.76913948671,PP,Household
2017,India,Gujarat,Varanasi,9910263,3645.5094826165114,Other,Packaging
2019,India,Karnataka,Siliguri,9655467,27732.75989800158,PP,Household
2021,India,Gujarat,Howrah,7258372,26171.155426957263,Other,Packaging
2021,India,Gujarat,Siliguri,6734092,11054.337685129734,PVC,Household
2022,India,Karnataka,Varanasi,5663744,34377.24240108233,PP,Packaging
2020,India,Gujarat,Howrah,8996745,9271.42310966942,PP,Packaging
2022,India,Nagaland,Varanasi,8507529,41074.67314736328,PVC,Packaging
2022,India,Karnataka,Siliguri,7951903,18058.708663685276,PP,Packaging
2022,India,Nagaland,Varanasi,5534681,28599.70621073478,PP,Household
2024,India,Nagaland,Howrah,6664071,16364.550898468402,PP,Industrial
2016,India,Gujarat,Siliguri,2464644,33726.58688877386,Other,Packaging
2018,India,Nagaland,Varanasi,421888,26010.2204262447,Other,Packaging
